Alpha,Lambda,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Derivative,Platform,Breakthrough,R&D,Total
1.0,1.0,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.9,0.0,0,11,0,1,0,19,2,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.9,0.1,0,11,0,1,0,19,3,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.9,0.3,0,2,0,0,0,19,1,19,0,0,0,17,11,0,6,0,12,0,0,0,4.0,2.0,2.0,0.0,8.0
0.9,0.5,0,3,0,0,0,20,1,19,0,0,0,17,11,0,6,0,11,0,0,0,4.0,2.0,2.0,0.0,8.0
0.9,0.7,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.9,0.9,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.925,0.0,0,11,0,1,0,19,2,19,0,0,0,0,6,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.925,0.1,0,11,0,1,0,19,2,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.925,0.3,0,10,0,1,0,19,2,19,0,0,0,0,6,0,16,0,10,0,0,0,5.0,1.0,2.0,0.0,8.0
0.925,0.5,0,3,0,0,0,20,1,19,0,0,0,17,11,0,6,0,11,0,0,0,4.0,2.0,2.0,0.0,8.0
0.925,0.7,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.925,0.9,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.95,0.0,0,11,0,1,0,19,2,19,0,0,0,0,6,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.95,0.1,0,11,0,1,0,19,2,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.95,0.3,0,10,0,1,0,19,3,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.95,0.5,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.95,0.7,0,2,0,0,0,19,1,19,0,0,0,17,11,0,6,0,11,0,0,0,4.0,2.0,2.0,0.0,8.0
0.95,0.9,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.975,0.0,0,10,0,1,0,19,2,19,0,0,0,0,6,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.975,0.1,0,11,0,1,0,19,2,19,0,0,0,0,6,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.975,0.3,0,10,0,1,0,19,3,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.975,0.5,0,2,0,0,0,20,1,20,0,0,0,18,11,0,6,0,11,0,0,0,4.0,2.0,2.0,0.0,8.0
0.975,0.7,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.975,0.9,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.99,0.0,0,11,0,1,0,19,2,19,0,0,0,0,6,0,17,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.99,0.1,0,10,0,1,0,19,2,19,0,0,0,0,6,0,17,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.99,0.3,0,11,0,1,0,19,2,19,0,0,0,0,5,0,16,0,11,0,0,0,5.0,1.0,2.0,0.0,8.0
0.99,0.5,0,3,0,0,0,20,1,20,0,0,0,18,11,0,6,0,12,0,0,0,4.0,2.0,2.0,0.0,8.0
0.99,0.7,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
0.99,0.9,0,1,0,0,0,20,1,20,0,0,0,1,16,0,11,0,16,0,0,0,4.0,2.0,2.0,0.0,8.0
